time,time_sim,age_sim,hour_sim,arm_selected,reward
2024-01-20 23:07:48,2024-01-21 17:00:06,69,17,option1,0
2024-01-20 23:07:49,2024-01-21 13:00:01,43,13,option3,1
2024-01-20 23:07:50,2024-01-22 02:00:55,16,2,option1,1
2024-01-20 23:07:50,2024-01-21 19:00:54,90,19,option1,0
2024-01-20 23:07:51,2024-01-22 01:00:18,46,1,option3,1
2024-01-20 23:07:51,2024-01-21 17:00:53,83,17,option2,0
2024-01-20 23:07:52,2024-01-21 09:00:49,52,9,option3,0
2024-01-20 23:07:52,2024-01-21 18:00:45,31,18,option1,0
2024-01-20 23:07:53,2024-01-22 03:00:10,65,3,option3,1
2024-01-20 23:07:54,2024-01-21 23:00:46,104,23,option2,0
2024-01-20 23:07:54,2024-01-22 02:00:25,78,2,option3,1
2024-01-20 23:07:55,2024-01-21 11:00:11,28,11,option3,1
2024-01-20 23:07:55,2024-01-21 01:00:17,99,1,option1,0
2024-01-20 23:07:56,2024-01-21 17:00:35,19,17,option3,0
2024-01-20 23:07:57,2024-01-21 16:00:08,85,16,option2,0
2024-01-20 23:07:57,2024-01-22 04:00:02,101,4,option3,1
2024-01-20 23:07:58,2024-01-21 16:00:12,84,16,option3,1
2024-01-20 23:07:58,2024-01-22 07:00:07,38,7,option3,1
2024-01-20 23:07:59,2024-01-21 10:00:16,75,10,option3,1
2024-01-20 23:07:59,2024-01-22 13:00:46,27,13,option3,1
2024-01-20 23:08:00,2024-01-22 13:00:01,113,13,option1,0
2024-01-20 23:08:01,2024-01-22 04:00:37,54,4,option3,1
2024-01-20 23:08:01,2024-01-22 10:00:52,98,10,option3,0
2024-01-20 23:08:02,2024-01-21 09:00:49,41,9,option2,0
2024-01-20 23:08:02,2024-01-21 21:00:20,10,21,option2,0
2024-01-20 23:08:03,2024-01-22 04:00:45,39,4,option2,0
2024-01-20 23:08:03,2024-01-22 06:00:51,34,6,option1,0
2024-01-20 23:08:04,2024-01-22 10:00:37,114,10,option2,0
2024-01-20 23:08:04,2024-01-22 02:00:10,111,2,option3,1
2024-01-20 23:08:05,2024-01-22 03:00:18,39,3,option2,0
2024-01-20 23:08:05,2024-01-21 21:00:47,5,21,option3,0
2024-01-20 23:08:06,2024-01-22 02:00:06,0,2,option2,0
2024-01-20 23:08:06,2024-01-22 06:00:14,24,6,option1,1
2024-01-20 23:08:07,2024-01-21 17:00:10,98,17,option1,0
2024-01-20 23:08:08,2024-01-22 02:00:45,36,2,option3,1
2024-01-20 23:08:08,2024-01-21 21:00:21,114,21,option2,0
2024-01-20 23:08:09,2024-01-21 06:00:03,77,6,option1,0
2024-01-20 23:08:09,2024-01-22 07:00:16,15,7,option1,0
2024-01-20 23:08:10,2024-01-21 21:00:22,88,21,option3,1
2024-01-20 23:08:10,2024-01-21 19:00:11,38,19,option3,1
2024-01-20 23:08:10,2024-01-21 09:00:39,60,9,option3,0
2024-01-20 23:08:11,2024-01-21 18:00:42,19,18,option2,1
2024-01-20 23:08:12,2024-01-21 17:00:42,8,17,option1,0
2024-01-20 23:08:12,2024-01-22 02:00:25,58,2,option3,1
2024-01-20 23:08:13,2024-01-21 13:00:06,118,13,option2,0
2024-01-20 23:08:13,2024-01-22 02:00:04,20,2,option1,1
2024-01-20 23:08:14,2024-01-21 08:00:30,92,8,option3,0
2024-01-20 23:08:15,2024-01-22 14:00:51,119,14,option3,1
2024-01-20 23:08:15,2024-01-21 23:00:41,19,23,option2,0
2024-01-20 23:08:16,2024-01-22 07:00:18,28,7,option3,1
2024-01-20 23:08:16,2024-01-22 00:00:07,89,0,option3,1
2024-01-20 23:08:16,2024-01-21 14:00:05,78,14,option3,1
2024-01-20 23:08:17,2024-01-22 01:00:32,87,1,option3,1
2024-01-20 23:08:18,2024-01-21 14:00:20,46,14,option3,1
2024-01-20 23:08:18,2024-01-21 17:00:35,102,17,option1,0
2024-01-20 23:08:19,2024-01-22 18:00:17,31,18,option3,1
2024-01-20 23:08:19,2024-01-21 18:00:23,39,18,option2,0
2024-01-20 23:08:20,2024-01-22 01:00:36,89,1,option1,0
2024-01-20 23:08:20,2024-01-21 20:00:33,109,20,option1,0
2024-01-20 23:08:21,2024-01-21 18:00:29,98,18,option2,0
2024-01-20 23:08:21,2024-01-22 04:00:42,22,4,option3,0
2024-01-20 23:08:22,2024-01-21 19:00:37,93,19,option3,1
2024-01-20 23:08:22,2024-01-21 08:00:54,101,8,option1,0
2024-01-20 23:08:23,2024-01-22 11:00:55,32,11,option3,1
2024-01-20 23:08:23,2024-01-21 16:00:12,12,16,option1,1
2024-01-20 23:08:24,2024-01-21 07:00:00,105,7,option3,1
2024-01-20 23:08:24,2024-01-21 07:00:24,113,7,option3,1
2024-01-20 23:08:25,2024-01-22 03:00:24,29,3,option3,1
2024-01-20 23:08:25,2024-01-21 23:00:47,65,23,option1,0
2024-01-20 23:08:26,2024-01-21 21:00:17,117,21,option3,1
2024-01-20 23:08:26,2024-01-22 14:00:46,9,14,option1,1
2024-01-20 23:08:27,2024-01-22 04:00:15,62,4,option3,1
2024-01-20 23:08:27,2024-01-21 16:00:41,16,16,option1,0
2024-01-20 23:08:28,2024-01-21 03:00:00,83,3,option3,1
2024-01-20 23:08:29,2024-01-21 21:00:03,103,21,option3,0
2024-01-20 23:08:29,2024-01-21 07:00:30,26,7,option1,0
2024-01-20 23:08:30,2024-01-22 05:00:53,64,5,option3,1
2024-01-20 23:08:30,2024-01-21 06:00:14,26,6,option3,1
2024-01-20 23:08:31,2024-01-21 13:00:12,60,13,option3,1
2024-01-20 23:08:31,2024-01-21 19:00:08,103,19,option2,0
2024-01-20 23:08:32,2024-01-21 17:00:20,40,17,option3,1
2024-01-20 23:08:33,2024-01-22 06:00:37,113,6,option3,1
2024-01-20 23:08:33,2024-01-21 23:00:37,97,23,option2,0
2024-01-20 23:08:34,2024-01-21 21:00:14,68,21,option1,0
2024-01-20 23:08:34,2024-01-22 03:00:18,1,3,option2,0
2024-01-20 23:08:35,2024-01-22 14:00:36,100,14,option3,0
2024-01-20 23:08:35,2024-01-21 02:00:27,17,2,option2,0
2024-01-20 23:08:36,2024-01-21 07:00:19,49,7,option1,0
2024-01-20 23:08:36,2024-01-22 09:00:21,22,9,option1,0
2024-01-20 23:08:37,2024-01-22 05:00:43,13,5,option1,0
2024-01-20 23:08:37,2024-01-22 04:00:00,34,4,option1,0
2024-01-20 23:08:38,2024-01-22 01:00:02,64,1,option1,0
2024-01-20 23:08:39,2024-01-22 01:00:29,113,1,option3,1
2024-01-20 23:08:40,2024-01-21 17:00:51,17,17,option2,1
2024-01-20 23:08:40,2024-01-21 12:00:30,105,12,option2,0
2024-01-20 23:08:41,2024-01-21 23:00:26,62,23,option2,0
2024-01-20 23:08:41,2024-01-21 17:00:18,109,17,option3,1
2024-01-20 23:08:42,2024-01-21 21:00:27,63,21,option3,1
2024-01-20 23:08:43,2024-01-21 07:00:29,35,7,option3,1
2024-01-20 23:08:43,2024-01-22 09:00:33,101,9,option1,0
2024-01-20 23:08:44,2024-01-22 14:00:01,8,14,option3,0
2024-01-20 23:08:45,2024-01-22 07:00:23,21,7,option3,0
2024-01-20 23:08:45,2024-01-22 07:00:53,63,7,option2,0
2024-01-20 23:08:46,2024-01-22 11:00:54,39,11,option3,1
2024-01-20 23:08:46,2024-01-22 11:00:09,97,11,option3,1
2024-01-20 23:08:47,2024-01-21 23:00:53,69,23,option3,1
